customer_id,store_id,first_name,last_name,email,address_id,activebool,create_date,last_update,active
524,1,Jared,Ely,jared.ely@sakilacustomer.org,530,t,2/14/2006,49:45.7,1
1,1,Mary,Smith,mary.smith@sakilacustomer.org,5,t,2/14/2006,49:45.7,1
2,1,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,t,2/14/2006,49:45.7,1
3,1,Linda,Williams,linda.williams@sakilacustomer.org,7,t,2/14/2006,49:45.7,1
4,2,Barbara,Jones,barbara.jones@sakilacustomer.org,8,t,2/14/2006,49:45.7,1
5,1,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,t,2/14/2006,49:45.7,1
6,2,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,t,2/14/2006,49:45.7,1
7,1,Maria,Miller,maria.miller@sakilacustomer.org,11,t,2/14/2006,49:45.7,1
8,2,Susan,Wilson,susan.wilson@sakilacustomer.org,12,t,2/14/2006,49:45.7,1
9,2,Margaret,Moore,margaret.moore@sakilacustomer.org,13,t,2/14/2006,49:45.7,1
10,1,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,t,2/14/2006,49:45.7,1
11,2,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,t,2/14/2006,49:45.7,1
12,1,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,t,2/14/2006,49:45.7,1
13,2,Karen,Jackson,karen.jackson@sakilacustomer.org,17,t,2/14/2006,49:45.7,1
14,2,Betty,White,betty.white@sakilacustomer.org,18,t,2/14/2006,49:45.7,1
15,1,Helen,Harris,helen.harris@sakilacustomer.org,19,t,2/14/2006,49:45.7,1
16,2,Sandra,Martin,sandra.martin@sakilacustomer.org,20,t,2/14/2006,49:45.7,0
17,1,Donna,Thompson,donna.thompson@sakilacustomer.org,21,t,2/14/2006,49:45.7,1
18,2,Carol,Garcia,carol.garcia@sakilacustomer.org,22,t,2/14/2006,49:45.7,1
19,1,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,t,2/14/2006,49:45.7,1
20,2,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,t,2/14/2006,49:45.7,1
21,1,Michelle,Clark,michelle.clark@sakilacustomer.org,25,t,2/14/2006,49:45.7,1
22,1,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,t,2/14/2006,49:45.7,1
23,2,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,t,2/14/2006,49:45.7,1
24,2,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,t,2/14/2006,49:45.7,1
25,1,Deborah,Walker,deborah.walker@sakilacustomer.org,29,t,2/14/2006,49:45.7,1
26,2,Jessica,Hall,jessica.hall@sakilacustomer.org,30,t,2/14/2006,49:45.7,1
27,2,Shirley,Allen,shirley.allen@sakilacustomer.org,31,t,2/14/2006,49:45.7,1
28,1,Cynthia,Young,cynthia.young@sakilacustomer.org,32,t,2/14/2006,49:45.7,1
29,2,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,t,2/14/2006,49:45.7,1
30,1,Melissa,King,melissa.king@sakilacustomer.org,34,t,2/14/2006,49:45.7,1
31,2,Brenda,Wright,brenda.wright@sakilacustomer.org,35,t,2/14/2006,49:45.7,1
32,1,Amy,Lopez,amy.lopez@sakilacustomer.org,36,t,2/14/2006,49:45.7,1
33,2,Anna,Hill,anna.hill@sakilacustomer.org,37,t,2/14/2006,49:45.7,1
34,2,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,t,2/14/2006,49:45.7,1
35,2,Virginia,Green,virginia.green@sakilacustomer.org,39,t,2/14/2006,49:45.7,1
36,2,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,t,2/14/2006,49:45.7,1
37,1,Pamela,Baker,pamela.baker@sakilacustomer.org,41,t,2/14/2006,49:45.7,1
38,1,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,t,2/14/2006,49:45.7,1
39,1,Debra,Nelson,debra.nelson@sakilacustomer.org,43,t,2/14/2006,49:45.7,1
40,2,Amanda,Carter,amanda.carter@sakilacustomer.org,44,t,2/14/2006,49:45.7,1
41,1,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,t,2/14/2006,49:45.7,1
42,2,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,t,2/14/2006,49:45.7,1
43,2,Christine,Roberts,christine.roberts@sakilacustomer.org,47,t,2/14/2006,49:45.7,1
44,1,Marie,Turner,marie.turner@sakilacustomer.org,48,t,2/14/2006,49:45.7,1
45,1,Janet,Phillips,janet.phillips@sakilacustomer.org,49,t,2/14/2006,49:45.7,1
46,2,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50,t,2/14/2006,49:45.7,1
47,1,Frances,Parker,frances.parker@sakilacustomer.org,51,t,2/14/2006,49:45.7,1
48,1,Ann,Evans,ann.evans@sakilacustomer.org,52,t,2/14/2006,49:45.7,1
49,2,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53,t,2/14/2006,49:45.7,1
50,1,Diane,Collins,diane.collins@sakilacustomer.org,54,t,2/14/2006,49:45.7,1
51,1,Alice,Stewart,alice.stewart@sakilacustomer.org,55,t,2/14/2006,49:45.7,1
52,1,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56,t,2/14/2006,49:45.7,1
53,1,Heather,Morris,heather.morris@sakilacustomer.org,57,t,2/14/2006,49:45.7,1
54,1,Teresa,Rogers,teresa.rogers@sakilacustomer.org,58,t,2/14/2006,49:45.7,1
55,2,Doris,Reed,doris.reed@sakilacustomer.org,59,t,2/14/2006,49:45.7,1
56,1,Gloria,Cook,gloria.cook@sakilacustomer.org,60,t,2/14/2006,49:45.7,1
57,2,Evelyn,Morgan,evelyn.morgan@sakilacustomer.org,61,t,2/14/2006,49:45.7,1
58,1,Jean,Bell,jean.bell@sakilacustomer.org,62,t,2/14/2006,49:45.7,1
59,1,Cheryl,Murphy,cheryl.murphy@sakilacustomer.org,63,t,2/14/2006,49:45.7,1
60,1,Mildred,Bailey,mildred.bailey@sakilacustomer.org,64,t,2/14/2006,49:45.7,1
61,2,Katherine,Rivera,katherine.rivera@sakilacustomer.org,65,t,2/14/2006,49:45.7,1
62,1,Joan,Cooper,joan.cooper@sakilacustomer.org,66,t,2/14/2006,49:45.7,1
63,1,Ashley,Richardson,ashley.richardson@sakilacustomer.org,67,t,2/14/2006,49:45.7,1
64,2,Judith,Cox,judith.cox@sakilacustomer.org,68,t,2/14/2006,49:45.7,0
65,2,Rose,Howard,rose.howard@sakilacustomer.org,69,t,2/14/2006,49:45.7,1
66,2,Janice,Ward,janice.ward@sakilacustomer.org,70,t,2/14/2006,49:45.7,1
67,1,Kelly,Torres,kelly.torres@sakilacustomer.org,71,t,2/14/2006,49:45.7,1
68,1,Nicole,Peterson,nicole.peterson@sakilacustomer.org,72,t,2/14/2006,49:45.7,1
69,2,Judy,Gray,judy.gray@sakilacustomer.org,73,t,2/14/2006,49:45.7,1
70,2,Christina,Ramirez,christina.ramirez@sakilacustomer.org,74,t,2/14/2006,49:45.7,1
71,1,Kathy,James,kathy.james@sakilacustomer.org,75,t,2/14/2006,49:45.7,1
72,2,Theresa,Watson,theresa.watson@sakilacustomer.org,76,t,2/14/2006,49:45.7,1
73,2,Beverly,Brooks,beverly.brooks@sakilacustomer.org,77,t,2/14/2006,49:45.7,1
74,1,Denise,Kelly,denise.kelly@sakilacustomer.org,78,t,2/14/2006,49:45.7,1
75,2,Tammy,Sanders,tammy.sanders@sakilacustomer.org,79,t,2/14/2006,49:45.7,1
76,2,Irene,Price,irene.price@sakilacustomer.org,80,t,2/14/2006,49:45.7,1
77,2,Jane,Bennett,jane.bennett@sakilacustomer.org,81,t,2/14/2006,49:45.7,1
78,1,Lori,Wood,lori.wood@sakilacustomer.org,82,t,2/14/2006,49:45.7,1
79,1,Rachel,Barnes,rachel.barnes@sakilacustomer.org,83,t,2/14/2006,49:45.7,1
80,1,Marilyn,Ross,marilyn.ross@sakilacustomer.org,84,t,2/14/2006,49:45.7,1
81,1,Andrea,Henderson,andrea.henderson@sakilacustomer.org,85,t,2/14/2006,49:45.7,1
82,1,Kathryn,Coleman,kathryn.coleman@sakilacustomer.org,86,t,2/14/2006,49:45.7,1
83,1,Louise,Jenkins,louise.jenkins@sakilacustomer.org,87,t,2/14/2006,49:45.7,1
84,2,Sara,Perry,sara.perry@sakilacustomer.org,88,t,2/14/2006,49:45.7,1
85,2,Anne,Powell,anne.powell@sakilacustomer.org,89,t,2/14/2006,49:45.7,1
86,2,Jacqueline,Long,jacqueline.long@sakilacustomer.org,90,t,2/14/2006,49:45.7,1
87,1,Wanda,Patterson,wanda.patterson@sakilacustomer.org,91,t,2/14/2006,49:45.7,1
88,2,Bonnie,Hughes,bonnie.hughes@sakilacustomer.org,92,t,2/14/2006,49:45.7,1
89,1,Julia,Flores,julia.flores@sakilacustomer.org,93,t,2/14/2006,49:45.7,1
90,2,Ruby,Washington,ruby.washington@sakilacustomer.org,94,t,2/14/2006,49:45.7,1
91,2,Lois,Butler,lois.butler@sakilacustomer.org,95,t,2/14/2006,49:45.7,1
92,2,Tina,Simmons,tina.simmons@sakilacustomer.org,96,t,2/14/2006,49:45.7,1
93,1,Phyllis,Foster,phyllis.foster@sakilacustomer.org,97,t,2/14/2006,49:45.7,1
94,1,Norma,Gonzales,norma.gonzales@sakilacustomer.org,98,t,2/14/2006,49:45.7,1
95,2,Paula,Bryant,paula.bryant@sakilacustomer.org,99,t,2/14/2006,49:45.7,1
96,1,Diana,Alexander,diana.alexander@sakilacustomer.org,100,t,2/14/2006,49:45.7,1
97,2,Annie,Russell,annie.russell@sakilacustomer.org,101,t,2/14/2006,49:45.7,1
98,1,Lillian,Griffin,lillian.griffin@sakilacustomer.org,102,t,2/14/2006,49:45.7,1
99,2,Emily,Diaz,emily.diaz@sakilacustomer.org,103,t,2/14/2006,49:45.7,1
100,1,Robin,Hayes,robin.hayes@sakilacustomer.org,104,t,2/14/2006,49:45.7,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
